CID,R,F,M,cluster
4710198,0.5895429165188136,-1.0613541860416928,2.5559172708843656,3
4710327,1.5703161645701589,-1.4178289748643051,1.7254192082398652,3
4710516,1.320264005547653,-1.4178289748643051,3.609052684672733,3
4711008,1.5508308522176242,-1.4178289748643051,1.7254192082398652,3
4711245,-0.14660770597109646,-1.4178289748643051,3.609052684672733,3
4711379,1.3158877101115272,-1.4178289748643051,3.609052684672733,3
4711441,1.845522527540035,-1.0613541860416928,2.0827600773830173,3
4711944,0.1908654622679325,0.02067174674919342,2.414337524416607,3
4711961,1.6894966897075268,-1.4178289748643051,1.7254192082398652,3
4713781,-0.3775402806886974,-0.23628124460158903,4.105850289463743,3
4713845,0.27314525727474515,-1.0613541860416928,2.603044103161528,3
4714107,0.5738719073193204,-1.4178289748643051,3.8412321954099107,3
4714379,0.32262598792556535,-0.47294355898630297,2.02098184547938,3
4714589,1.8107852865106622,-1.4178289748643051,1.7254192082398652,3
4714660,0.43159204842358395,-0.3455902629166099,2.947675816587588,3
4714815,1.415937809189978,-1.4178289748643051,3.609052684672733,3
4715006,0.47035514391253075,-1.4178289748643051,3.980251214458527,3
4715298,1.4231959652289443,-1.4178289748643051,1.7254192082398652,3
4715329,0.47035514391253075,-1.4178289748643051,3.8412321954099107,3
4715370,0.9585493852323846,-1.0613541860416928,1.8447874014597434,3
4715395,-0.530550084508304,-1.4178289748643051,4.534297684246766,3
4715396,1.123304223070067,-1.4178289748643051,1.6297312574089182,3
4715454,0.5738719073193204,-1.4178289748643051,3.8412321954099107,3
4715840,-0.19740212103962618,-1.0613541860416928,2.035244138900751,3
4715964,0.5738719073193204,-1.4178289748643051,4.257668956736875,3
4716699,0.45127631824186226,-1.0613541860416928,1.6775971650158896,3
4717081,1.0504078355656088,-1.4178289748643051,1.8686297266010494,3
4717381,1.5393637218418996,-1.4178289748643051,1.7254192082398652,3
42137501,1.3458093423796085,-0.8139742712348548,3.5315213778113987,3
42139625,-0.530550084508304,-0.05568433025468827,2.8899792010814394,3
42139991,0.45127631824186226,-1.4178289748643051,4.534297684246766,3
44334042,0.9908314477084124,-1.0613541860416928,1.8447874014597434,3
44335093,1.7527828918038422,-1.4178289748643051,1.7254192082398652,3
44335454,1.4546952711388672,-1.0613541860416928,2.43795524036219,3
44336303,0.47035514391253075,0.9117654573206876,3.159274535644725,3
44336593,1.1535616921989613,-0.8139742712348548,3.5780486148494695,3
44336710,0.4888632083103395,-1.4178289748643051,1.7254192082398652,3
44336800,1.8658806498170761,-1.4178289748643051,1.7254192082398652,3
44336969,0.9749166616997876,-1.4178289748643051,3.980251214458527,3
44337048,-0.19740212103962618,0.08997449730061792,2.5703036033231736,3
44337429,1.7546994510384246,-0.47294355898630297,2.34343267952049,3
44337564,1.4512854169991436,-0.3455902629166099,2.43795524036219,3
44337640,1.193351226323338,-1.4178289748643051,1.9638975390418685,3
44337690,1.4876471245973613,-1.0613541860416928,4.006707173683322,3
44337701,1.882481893882152,-1.4178289748643051,1.7254192082398652,3
44337728,1.2355953827303738,-1.4178289748643051,3.1427715381410035,3
44337861,0.47035514391253075,-1.4178289748643051,3.980251214458527,3
44531979,1.521681861585541,-1.0613541860416928,2.43795524036219,3
44532006,1.8358400865733275,-1.4178289748643051,2.43795524036219,3
44532039,1.7527828918038422,-1.4178289748643051,1.929891777955104,3
44532101,1.5508308522176242,-0.6251987604330399,1.9638975390418685,3
44532284,1.5757531796038817,-1.0613541860416928,2.43795524036219,3
44532351,1.5064816543401862,-1.4178289748643051,3.609052684672733,3
44532621,0.6197231084657697,-0.8139742712348548,2.2803400044965434,3
44532764,0.47035514391253075,-1.4178289748643051,3.8412321954099107,3
